id,control,produto,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,VINHO DE MESA,VINHO DE MESA,205418206,195267980,257840749,212777037,196904222,196173123,210308560,86319015,255015187,218375636,144629737,124200414,173899995,195031611,169762429
2,vm_Tinto,Tinto,164143454,157290088,210113358,175875432,163111797,157776363,169811472,75279191,1365957,188270142,121045115,103916391,146075996,162844214,139320884
3,vm_Branco,Branco,39211278,35408083,46007504,34938249,32066403,37438069,39557250,10727099,217527985,29229970,22032828,19568734,26432799,30198430,27910299
4,vm_Rosado,Rosado,2063474,2569809,1719887,1963356,1726022,958691,939838,312725,36121245,875524,1551794,715289,1391200,1988968,2531246
5,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),39900568,24805713,47598471,45200730,45782530,38464314,37148982,18070626,44537870,38707220,37615422,32516686,43474998,47511796,46268556
6,vv_Tinto,Tinto,18209043,11401406,24104740,24027589,23156458,17208996,16745896,8774847,21442212,19118254,17389377,15451883,20433249,24417918,23615783
7,vv_Branco,Branco,21366975,13013027,22739426,20647238,21906349,20054804,19561966,8705066,21928400,18297257,18193055,15487915,20867999,20896613,20693437
8,vv_Rosado,Rosado,324550,391280,754305,525903,719723,1200514,841120,590713,1167258,1291709,2032990,1576888,2173750,2197265,1959336
9,SUCO,SUCO,39715098,50125944,69364324,70066732,64879790,76723537,87894468,42210389,77161971,65467906,77805352,69261287,100932264,65809079,67045238
10,su_Suco de uva simples,Suco de uva integral,16034003,26887259,39487800,31908829,33673396,43331223,52233155,31117869,46865626,34367996,50239767,40718523,68038479,35248305,38122173
11,su_Suco concentrado,Suco de uva concentrado,23006457,23238685,29564324,37624855,31206394,33392314,35661313,11092520,30059271,31099910,26861009,27963865,32131218,29892550,28216760
12,su_Suco de uva adoçado,Suco de uva adoçado,674638,0,312200,533048,0,0,0,0,177774,0,120320,107289,40450,79130,94587
13,su_Suco de uva orgânico,Suco de uva orgânico,0,0,0,0,0,0,0,0,0,0,0,471610,722117,589094,611718
14,su_Suco de uva reconstituído,Suco de uva reconstituído,0,0,0,0,0,0,0,0,59300,0,584256,0,0,0,0
15,DERIVADOS,DERIVADOS,56787892,51210756,85748723,100757101,64072127,62907281,107349704,53950314,109116761,95202101,142888747,92533804,169031493,138501226,174716647
16,de_Espumante,Espumante,0,10125,26361,17200,30275,2700,23750,1500,11280,68500,52176,32399,70091,70759,65525
17,de_Espumante moscatel,Espumante moscatel,1190500,703393,219100,139775,159781,100000,110100,100000,152375,326200,515800,689139,11950,27200,14744
18,de_Base espumante,Base espumante,335850,0,0,0,0,0,0,0,0,0,0,0,5475049,0,0
19,de_Base espumante moscatel,Base espumante moscatel,442150,1144508,2749540,2798908,1470700,1808044,1607727,1325700,1965629,1320650,1962443,3006705,5549471,6308043,6734590
20,de_Base Champenoise champanha,Base Champenoise champanha,0,92082,74746,369278,359617,234725,605001,740395,1552403,228518,274903,200777,0,1146717,1552243
21,de_Base Charmat champanha,Base Charmat champanha,0,254000,865858,479625,624728,376968,1466259,250280,893364,1746540,1188095,2487939,0,4078766,5418118
22,de_Bebida de uva,Bebida de uva,420,7900,0,0,4260,3860,922,3474,0,0,0,0,2000,0,1627
23,de_Polpa de uva,Polpa de uva,1352417,1951606,2480120,2797665,1742152,2484000,2371140,1620430,2507125,2112683,1480269,1803472,1180578,387886,1388251
24,de_Mosto simples,Mosto simples,53418555,45912040,77285998,93341575,58517506,57582195,100911592,49770993,101010116,88910980,135614344,80355474,153579926,126048241,157848983
25,de_Mosto concentrado,Mosto concentrado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,de_Mosto de uva com bagaço,Mosto de uva com bagaço,0,0,1037600,0,0,0,0,0,772110,0,645816,3078256,618764,0,7784
27,de_Mosto dessulfitado,Mosto dessulfitado,0,0,0,0,0,0,0,0,0,0,1000,5000,1532000,0,0
28,de_Mistelas,Mistelas,3500,0,0,200,2500,1000,0,0,1500,2000,3000,0,2500,0,600
29,de_Néctar de uva,Néctar de uva,0,0,0,0,10000,1140,1000,0,3000,0,32519,46000,18187,0,70976
30,de_Licorosos,Licorosos,38000,0,0,26775,0,0,0,0,110820,0,0,0,0,0,0
31,de_Compostos,Compostos,0,0,0,7600,0,0,0,0,0,0,0,0,0,0,0
32,de_Jeropiga,Jeropiga,0,69000,0,0,0,0,0,0,0,0,0,2000,3540,5000,4500
33,de_Filtrado,Filtrado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,de_Frisante,Frisante,0,831000,1003800,778500,1009000,26069,0,0,0,0,0,0,1390,0,0
35,de_Vinho leve,Vinho leve,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0
36,de_Vinho licoroso,Vinho licoroso,0,15000,0,0,100,36000,56000,24200,110820,124303,99485,48678,30000,67000,73600
37,de_Brandy,Brandy,0,0,0,0,0,0,0,0,0,0,0,0,120,0,450
38,de_Destilado,Destilado,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0
39,de_Bagaceira,Bagaceira,6500,0,0,0,0,0,1350,1000,900,2100,10495,0,12060,4998,0
40,de_Licor de bagaceira,Licor de bagaceira,0,0,0,0,0,0,0,0,0,0,1507,5800,0,0,0
41,de_Vinagre,Vinagre,0,5817,0,0,0,53776,25800,5000,25319,25367,76096,10000,7500,16200,9000
42,de_Borra líquida,Borra líquida,0,64304,0,0,63111,50954,48833,24975,0,255100,901431,509378,116450,0,758140
43,de_Borra seca,Borra seca,0,149981,0,0,78397,142850,120230,82367,0,70480,25996,167587,16789,0,17200
44,de_Vinho Composto,Vinho Composto,0,0,0,0,0,3000,0,0,0,0,0,0,160000,0,0
45,de_Pisco,Pisco,0,0,0,0,0,0,0,0,0,0,3372,1000,0,0,0
46,de_Vinho orgânico,Vinho orgânico,0,0,5600,0,0,0,0,0,0,0,0,18700,93884,88890,94150
47,de_Espumante orgânico,Espumante orgânico,0,0,0,0,0,0,0,0,0,0,0,0,2412,0,1365
48,de_Destilado alcoólico simples de bagaceira ,Destilado alcoólico simples de bagaceira ,0,0,0,0,0,0,0,0,0,0,0,500,3000,4300,0
49,de_Vinho acidificado ,Vinho acidificado ,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,2500
50,de_Mosto parcialmente fermentado ,Mosto parcialmente fermentado ,0,0,0,0,0,0,0,0,0,0,0,0,543510,0,0
51,de_Outros derivados,Outros derivados,0,0,0,0,0,0,0,0,0,0,0,0,322,247228,652301
